item_name,part_no,barcode,cp,sp,qty,img_path,desc1,desc2,desc3,group0,group1,godown0,godown1,category0,category1
SS-BOX CH-RG-18i,,1,2.955,20,1,E:\MASTERS\1.JPG,BOX CHAIN,,,SILVER JEWELLERY,SS CHAINS,KENT,BILLY1=51,HP,1-HP-CH
SS-BOX CH-RG-18i,,2,2.955,20,1,E:\MASTERS\1.JPG,BOX CHAIN,,,SILVER JEWELLERY,SS CHAINS,KENT,LACK2=31,HP,1-HP-CH
SS-BOX CH-RG-18i,,3,2.955,20,1,E:\MASTERS\1.JPG,BOX CHAIN,,,SILVER JEWELLERY,SS CHAINS,STRATFORD,WH-BOX1=261,HP,1-HP-CH
SS-SQ HPS-RG,,4,7.01,35,1,E:\MASTERS\113.JPG,SQUARE SHAPE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,113-HP-ER
SS-SQ HPS-RG,,5,7.01,35,1,E:\MASTERS\113.JPG,SQUARE SHAPE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,113-HP-ER
SS-SQ HPS-RG,,6,7.01,35,1,E:\MASTERS\113.JPG,SQUARE SHAPE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,113-HP-ER
SS-SQ HPS-RG,,7,7.01,35,2,E:\MASTERS\113.JPG,SQUARE SHAPE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,113-HP-ER
SS-SQ HPS-SI,,8,6.266,32,1,E:\MASTERS\113.JPG,SQUARE SHAPE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,113-HP-ER
SS-SQ HPS-SI,,9,6.266,32,1,E:\MASTERS\113.JPG,SQUARE SHAPE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,113-HP-ER
SS-SQ HPS-SI,,10,6.266,32,1,E:\MASTERS\113.JPG,SQUARE SHAPE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,113-HP-ER
SS-SQ HPS-SI,,11,6.266,32,11,E:\MASTERS\113.JPG,SQUARE SHAPE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,113-HP-ER
SS-O TEX HPS-RG,,12,4.745,30,1,E:\MASTERS\133.JPG,O SHAPE TEXTURED HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,133-HP-ER
SS-O TEX HPS-RG,,13,4.745,30,1,E:\MASTERS\133.JPG,O SHAPE TEXTURED HOOPS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,133-HP-ER
SS-O TEX HPS-SI,,14,4.087,28,1,E:\MASTERS\133.JPG,O SHAPE TEXTURED HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,133-HP-ER
SS-O TEX HPS-SI,,15,4.087,28,1,E:\MASTERS\133.JPG,O SHAPE TEXTURED HOOPS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-ER,HP,133-HP-ER
SS-O TEX HPS-SI,,16,4.087,28,10,E:\MASTERS\133.JPG,O SHAPE TEXTURED HOOPS,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,133-HP-ER
SS-3 PIPES HPS-RG,,17,7.97,43,1,E:\MASTERS\153.JPG,TRIPLE PIPES HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,153-HP-ER
SS-3 PIPES HPS-RG,,18,7.97,43,1,E:\MASTERS\153.JPG,TRIPLE PIPES HOOPS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,153-HP-ER
SS-3 PIPES HPS-RG,,19,7.97,43,1,E:\MASTERS\153.JPG,TRIPLE PIPES HOOPS,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,153-HP-ER
SS-3 PIPES HPS-SI,,20,7.97,43,1,E:\MASTERS\153.JPG,TRIPLE PIPES HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,153-HP-ER
SS-3 PIPES HPS-SI,,21,7.97,43,1,E:\MASTERS\153.JPG,TRIPLE PIPES HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,153-HP-ER
SS-3 PIPES HPS-SI,,22,7.97,43,1,E:\MASTERS\153.JPG,TRIPLE PIPES HOOPS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,153-HP-ER
SS-3 PIPES HPS-SI,,23,7.97,43,10,E:\MASTERS\153.JPG,TRIPLE PIPES HOOPS,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,153-HP-ER
SS-TREE O LIFE PN-RG,,24,2.772,19,1,E:\MASTERS\197.JPG,TREE OF LIFE PENDANT,,,SILVER JEWELLERY,SS PENDANTS,KENT,LACK2=31,HP,197-HP-PN
SS-TREE O LIFE PN-RG,,25,2.772,19,2,E:\MASTERS\197.JPG,TREE OF LIFE PENDANT,,,SILVER JEWELLERY,SS PENDANTS,STRATFORD,WH-BOX1=261,HP,197-HP-PN
SS-TREE O LIFE PN-SI,,26,2.394,17,13,E:\MASTERS\197.JPG,TREE OF LIFE PENDANT,,,SILVER JEWELLERY,SS PENDANTS,STRATFORD,WH-BOX1=261,HP,197-HP-PN
SS-TREE O LIFE HK ER-RG,,27,4.821,30,1,E:\MASTERS\217.JPG,TREE OF LIFE HOOK EARRINGS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,217-HP-ER
SS-TREE O LIFE HK ER-RG,,28,4.821,30,1,E:\MASTERS\217.JPG,TREE OF LIFE HOOK EARRINGS,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,217-HP-ER
SS-TREE O LIFE HK ER-RG,,29,4.821,30,1,E:\MASTERS\217.JPG,TREE OF LIFE HOOK EARRINGS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,217-HP-ER
SS-TREE O LIFE HK ER-SI,,30,4.163,28,1,E:\MASTERS\217.JPG,TREE OF LIFE HOOK EARRINGS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,217-HP-ER
SS-TREE O LIFE HK ER-SI,,31,4.163,28,1,E:\MASTERS\217.JPG,TREE OF LIFE HOOK EARRINGS,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,217-HP-ER
SS-TREE O LIFE HK ER-SI,,32,4.163,28,1,E:\MASTERS\217.JPG,TREE OF LIFE HOOK EARRINGS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-ER,HP,217-HP-ER
SS-TREE O LIFE HK ER-SI,,33,4.163,28,5,E:\MASTERS\217.JPG,TREE OF LIFE HOOK EARRINGS,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,217-HP-ER
SS-OX FIL HPS-AGP,,34,10.224,53,1,E:\MASTERS\237.JPG,OXIDIZED FILIGREE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,237-HP-ER
SS-OX FIL HPS-AGP,,35,10.224,53,1,E:\MASTERS\237.JPG,OXIDIZED FILIGREE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,237-HP-ER
SS-OX FIL HPS-AGP,,36,10.224,53,1,E:\MASTERS\237.JPG,OXIDIZED FILIGREE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,237-HP-ER
SS-OX FIL HPS-AGP,,37,10.224,53,10,E:\MASTERS\237.JPG,OXIDIZED FILIGREE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,237-HP-ER
SS-OX FIL HPS-ARG,,38,10.224,53,1,E:\MASTERS\237.JPG,OXIDIZED FILIGREE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,237-HP-ER
SS-OX FIL HPS-ARG,,39,10.224,53,1,E:\MASTERS\237.JPG,OXIDIZED FILIGREE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,237-HP-ER
SS-OX FIL HPS-ARG,,40,10.224,53,1,E:\MASTERS\237.JPG,OXIDIZED FILIGREE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,237-HP-ER
SS-OX FIL HPS-ARG,,41,10.224,53,2,E:\MASTERS\237.JPG,OXIDIZED FILIGREE HOOPS,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,237-HP-ER
SS-OLAP 1/2 HPS-RG,,42,6.417,37,1,E:\MASTERS\257.JPG,CRISS CROSS HALF HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,AC.FRAME1=62,HP,257-HP-ER
SS-OLAP 1/2 HPS-RG,,43,6.417,37,1,E:\MASTERS\257.JPG,CRISS CROSS HALF HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,257-HP-ER
SS-OLAP 1/2 HPS-RG,,44,6.417,37,1,E:\MASTERS\257.JPG,CRISS CROSS HALF HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,257-HP-ER
SS-OLAP 1/2 HPS-RG,,45,6.417,37,1,E:\MASTERS\257.JPG,CRISS CROSS HALF HOOPS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,257-HP-ER
SS-OLAP 1/2 HPS-RG,,46,6.417,37,1,E:\MASTERS\257.JPG,CRISS CROSS HALF HOOPS,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,257-HP-ER
SS-OLAP 1/2 HPS-SI,,47,5.824,34,1,E:\MASTERS\257.JPG,CRISS CROSS HALF HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,AC.FRAME1=62,HP,257-HP-ER
SS-OLAP 1/2 HPS-SI,,48,5.824,34,1,E:\MASTERS\257.JPG,CRISS CROSS HALF HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,257-HP-ER
SS-OLAP 1/2 HPS-SI,,49,5.824,34,1,E:\MASTERS\257.JPG,CRISS CROSS HALF HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,257-HP-ER
SS-OLAP 1/2 HPS-SI,,50,5.824,34,1,E:\MASTERS\257.JPG,CRISS CROSS HALF HOOPS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,257-HP-ER
SS-OLAP 1/2 HPS-SI,,51,5.824,34,10,E:\MASTERS\257.JPG,CRISS CROSS HALF HOOPS,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,257-HP-ER
SS-TREE O LIFE HK ER-AGP,,52,5.975,35,1,E:\MASTERS\277.JPG,TREE OF LIFE OXID HOOK ER,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,277-HP-ER
SS-TREE O LIFE HK ER-AGP,,53,5.975,35,1,E:\MASTERS\277.JPG,TREE OF LIFE OXID HOOK ER,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,277-HP-ER
SS-TREE O LIFE HK ER-AGP,,54,5.975,35,1,E:\MASTERS\277.JPG,TREE OF LIFE OXID HOOK ER,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,277-HP-ER
SS-TREE O LIFE HK ER-AGP,,55,5.975,35,2,E:\MASTERS\277.JPG,TREE OF LIFE OXID HOOK ER,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,277-HP-ER
SS-TREE O LIFE HK ER-ARG,,56,5.975,35,1,E:\MASTERS\277.JPG,TREE OF LIFE OXID HOOK ER,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,277-HP-ER
SS-TREE O LIFE HK ER-ARG,,57,5.975,35,1,E:\MASTERS\277.JPG,TREE OF LIFE OXID HOOK ER,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,277-HP-ER
SS-TREE O LIFE HK ER-ARG,,58,5.975,35,1,E:\MASTERS\277.JPG,TREE OF LIFE OXID HOOK ER,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,277-HP-ER
SS-TREE O LIFE HK ER-ASI,,59,5.306,32,1,E:\MASTERS\277.JPG,TREE OF LIFE OXID HOOK ER,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,277-HP-ER
SS-TREE O LIFE HK ER-ASI,,60,5.306,32,1,E:\MASTERS\277.JPG,TREE OF LIFE OXID HOOK ER,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,277-HP-ER
SS-TREE O LIFE HK ER-ASI,,61,5.306,32,1,E:\MASTERS\277.JPG,TREE OF LIFE OXID HOOK ER,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-ER,HP,277-HP-ER
SS-TREE O LIFE HK ER-ASI,,62,5.306,32,4,E:\MASTERS\277.JPG,TREE OF LIFE OXID HOOK ER,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,277-HP-ER
SS-SLANT GRVD HPS-RG,,63,8.337,45,1,E:\MASTERS\29.JPG,SLANT GROOVED HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,29-HP-ER
SS-SLANT GRVD HPS-RG,,64,8.337,45,1,E:\MASTERS\29.JPG,SLANT GROOVED HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,29-HP-ER
SS-SLANT GRVD HPS-RG,,65,8.337,45,1,E:\MASTERS\29.JPG,SLANT GROOVED HOOPS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,29-HP-ER
SS-SLANT GRVD HPS-RG,,66,8.337,45,1,E:\MASTERS\29.JPG,SLANT GROOVED HOOPS,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,29-HP-ER
SS-SLANT GRVD HPS-SI,,67,7.593,42,1,E:\MASTERS\29.JPG,SLANT GROOVED HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,29-HP-ER
SS-SLANT GRVD HPS-SI,,68,7.593,42,1,E:\MASTERS\29.JPG,SLANT GROOVED HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,29-HP-ER
SS-SLANT GRVD HPS-SI,,69,7.593,42,1,E:\MASTERS\29.JPG,SLANT GROOVED HOOPS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,29-HP-ER
SS-SLANT GRVD HPS-SI,,70,7.593,42,10,E:\MASTERS\29.JPG,SLANT GROOVED HOOPS,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,29-HP-ER
SS-DBL PIPE 1/2 HPS-RG,,71,5.608,33,5,E:\MASTERS\317.JPG,DOUBLE PIPE HALF HOOPS,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,317-HP-ER
SS-DBL PIPE 1/2 HPS-SI,,72,4.939,30,1,E:\MASTERS\317.JPG,DOUBLE PIPE HALF HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,317-HP-ER
SS-DBL PIPE 1/2 HPS-SI,,73,4.939,30,13,E:\MASTERS\317.JPG,DOUBLE PIPE HALF HOOPS,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,317-HP-ER
SS-DBL OLAP 1/2 HPS-RG,,74,5.231,33,1,E:\MASTERS\337.JPG,DOUBLE CRISS CROSS 1/2 HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,337-HP-ER
SS-DBL OLAP 1/2 HPS-RG,,75,5.231,33,1,E:\MASTERS\337.JPG,DOUBLE CRISS CROSS 1/2 HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,337-HP-ER
SS-DBL OLAP 1/2 HPS-RG,,76,5.231,33,1,E:\MASTERS\337.JPG,DOUBLE CRISS CROSS 1/2 HOOPS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,337-HP-ER
SS-DBL OLAP 1/2 HPS-RG,,77,5.231,33,1,E:\MASTERS\337.JPG,DOUBLE CRISS CROSS 1/2 HOOPS,,,SILVER JEWELLERY,SS EARRINGS,STRATFORD,WH-BOX1=261,HP,337-HP-ER
SS-DBL OLAP 1/2 HPS-SI,,78,4.573,30,1,E:\MASTERS\337.JPG,DOUBLE CRISS CROSS 1/2 HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,MRACKB3=50,HP,337-HP-ER
SS-DBL OLAP 1/2 HPS-SI,,79,4.573,30,1,E:\MASTERS\337.JPG,DOUBLE CRISS CROSS 1/2 HOOPS,,,SILVER JEWELLERY,SS EARRINGS,KENT,SLIM1=92,HP,337-HP-ER
SS-DBL OLAP 1/2 HPS-SI,,80,4.573,30,1,E:\MASTERS\337.JPG,DOUBLE CRISS CROSS 1/2 HOOPS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-BRAK-45,HP,337-HP-ER
SS-DBL OLAP 1/2 HPS-SI,,81,4.573,30,1,E:\MASTERS\337.JPG,DOUBLE CRISS CROSS 1/2 HOOPS,,,SILVER JEWELLERY,SS EARRINGS,LEDBURY,TOR-ER,HP,337-HP-ER
